Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,109.3735,176.53,0.0,top
C2,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.4375,182.477999,180.0,top
C3,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,109.5005,181.61,0.0,top
C4,33u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,137.922,186.0285,90.0,top
C5,0.47u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,137.922,189.8385,-90.0,top
C6,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,259.588,166.4705,90.0,top
C7,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,104.426,140.375,90.0,top
C8,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,104.524,152.0995,90.0,top
C9,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.728,152.2325,90.0,top
C10,33u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.8055,161.036,0.0,top
C11,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.728,140.2945,90.0,top
C12,0.47u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,140.97,161.036,180.0,top
C13,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.274,140.392,90.0,top
C14,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,150.07,140.259,90.0,top
C15,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,111.284,120.012,-90.0,top
C16,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,111.792,132.813,90.0,top
C17,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.316,132.813,90.0,top
C18,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,115.614,130.781,90.0,top
C19,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.6865,119.1495,0.0,top
C20,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.6865,122.1975,0.0,top
C21,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.6865,120.6735,0.0,top
C22,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.862,120.9725,90.0,top
C23,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.972,128.5345,90.0,top
C24,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,161.16,118.9405,90.0,top
C25,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,157.338,120.9725,90.0,top
C26,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.274,128.454,90.0,top
C27,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,260.096,132.4345,90.0,top
C28,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.17,106.9575,-90.0,top
C29,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,102.276,106.953,90.0,top
C30,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,93.1675,113.6095,0.0,top
C31,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,96.18,107.0055,-90.0,top
C32,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.014,106.905,90.0,top
C33,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,108.9155,113.6095,0.0,top
C34,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.1775,113.6575,0.0,top
C35,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,103.918,106.9575,-90.0,top
C36,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,112.04,106.7035,-90.0,top
C37,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,94.266,106.905,90.0,top
C38,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,133.716,95.117,-90.0,top
C39,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.136,106.651,90.0,top
C40,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.7135,101.769,0.0,top
C41,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.0375,113.3555,0.0,top
C42,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.464,95.117,-90.0,top
C43,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,141.726,95.165,-90.0,top
C44,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,157.586,94.863,-90.0,top
C45,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.812,95.0645,90.0,top
C46,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.56,95.0645,90.0,top
C47,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160.2325,108.833,0.0,top
C48,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.5835,101.515,0.0,top
C49,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,147.822,95.1125,90.0,top
C50,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,154.4615,101.769,0.0,top
C51,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,146.7235,101.817,0.0,top
C52,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,163.682,94.8105,90.0,top
C53,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.83,108.1715,-90.0,top
C54,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160.2325,107.309,0.0,top
C55,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160.2325,110.357,0.0,top
C56,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,261.366,97.9435,90.0,top
C57,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.736095,74.978972,0.0,top
C58,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,109.672095,67.766472,90.0,top
C59,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,128.778,74.624652,0.0,top
C60,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.799,67.5405,90.0,top
C61,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.35812,177.65212,135.0,bottom
C62,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.0895,186.644,0.0,bottom
C63,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,102.87,179.0965,90.0,bottom
C64,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.411,184.358,0.0,bottom
C65,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,95.758,177.9005,90.0,bottom
C66,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.411,187.406,0.0,bottom
C67,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.411,185.882,0.0,bottom
C68,2.2u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,201.24336,144.67812,45.0,bottom
C69,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,214.85888,140.81788,135.0,bottom
C70,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,199.16112,140.43688,45.0,bottom
C71,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,205.66324,145.94674,90.0,bottom
C72,4.7u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,207.6704,145.8987,90.0,bottom
C73,2.2u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,222.68124,132.53636,135.0,bottom
C74,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,224.56112,130.70812,135.0,bottom
C75,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,219.22712,136.80412,135.0,bottom
C76,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,219.329,118.11,225.0,bottom
C77,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,195.91074,136.19424,315.0,bottom
C78,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,215.392,115.697,225.0,bottom
C79,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,196.95188,115.92588,270.0,bottom
C80,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,190.98288,131.34312,225.0,bottom
C81,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,192.86136,121.05612,45.0,bottom
C82,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,187.88324,122.83274,270.0,bottom
C83,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.66124,122.83274,270.0,bottom
C84,9p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,187.62924,114.75774,270.0,bottom
C85,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,209.169,110.2625,270.0,bottom
C86,9p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,191.03174,111.55624,0.0,bottom
C87,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160.5515,99.229,180.0,bottom
C88,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160.6045,95.673,0.0,bottom
C89,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.4295,99.483,180.0,bottom
C90,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.4295,97.705,180.0,bottom
C91,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.7445,95.975,0.0,bottom
C92,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.6915,99.531,180.0,bottom
C93,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.4825,95.927,0.0,bottom
C94,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.6915,97.753,180.0,bottom
C95,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160.5515,97.451,180.0,bottom
C96,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,115.0055,111.0695,180.0,bottom
C97,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,115.0055,109.2915,180.0,bottom
C98,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.6815,97.705,180.0,bottom
C99,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,115.0585,107.5135,0.0,bottom
C100,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.7345,95.927,0.0,bottom
C101,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.6815,99.483,180.0,bottom
C102,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.1985,107.8155,0.0,bottom
C103,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.1455,109.5935,180.0,bottom
C104,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.1355,109.5455,180.0,bottom
C105,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,106.9365,107.7675,0.0,bottom
C106,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.1355,111.3235,180.0,bottom
C107,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,106.8835,109.5455,180.0,bottom
C108,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.1885,107.7675,0.0,bottom
C109,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.1455,111.3715,180.0,bottom
C110,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,106.8835,111.3235,180.0,bottom
D1,33V,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,204.456001,193.332,-90.0,top
D2,33V,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,230.110001,193.585,-90.0,top
D3,33V,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,255.397,193.586,-90.0,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,130.81,185.928,-90.0,top
D5,5V,SOT-23_Handsoldering,157.25,174.31,180.0,top
D6,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,184.15,174.235,90.0,top
D7,5V,SOT-23_Handsoldering,174.982,174.244,180.0,top
D8,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,165.608,174.235,90.0,top
D9,5V,SOT-23_Handsoldering,208.090003,188.539,-90.0,top
D10,5V,SOT-23_Handsoldering,233.744003,188.792,-90.0,top
D11,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,219.1765,167.353,180.0,top
D12,5V,SOT-23_Handsoldering,259.031002,188.793,-90.0,top
D13,SD36_SOD323,D_SOD-323_HandSoldering,105.696,145.0775,-90.0,top
D14,SD36_SOD323,D_SOD-323_HandSoldering,105.794,156.802,-90.0,top
D15,SD36_SOD323,D_SOD-323_HandSoldering,117.998,144.997,-90.0,top
D16,SD36_SOD323,D_SOD-323_HandSoldering,117.998,156.935,-90.0,top
D17,SD36_SOD323,D_SOD-323_HandSoldering,163.544,145.0945,-90.0,top
D18,SD36_SOD323,D_SOD-323_HandSoldering,151.34,144.9615,-90.0,top
D19,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,219.1765,164.432,180.0,top
D20,SD36_SOD323,D_SOD-323_HandSoldering,163.544,133.1565,-90.0,top
D21,SD36_SOD323,D_SOD-323_HandSoldering,151.242,133.237,-90.0,top
D22,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,212.734,93.98,180.0,top
D23,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,212.7465,97.495,180.0,top
D24,33V,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,158.242,68.081,90.0,top
D25,5V,SOT-23_Handsoldering,154.607999,72.874,90.0,top
D26,5V,SOT-23_Handsoldering,178.656999,72.9065,90.0,top
D27,33V,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,182.291,68.1135,90.0,top
D28,5V,SOT-23_Handsoldering,202.786999,72.9065,90.0,top
D29,33V,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,206.421,68.1135,90.0,top
D30,33V,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,230.391999,68.08,90.0,top
D31,5V,SOT-23_Handsoldering,226.757998,72.873,90.0,top
D32,33V,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,254.381,68.0895,90.0,top
D33,5V,SOT-23_Handsoldering,250.746999,72.8825,90.0,top
F1,Fuse,3557-2,161.036,188.083,90.0,top
F2,Fuse,3557-2,179.07,188.2465,90.0,top
F3,1.75 A; 350 mA; 16V ,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,133.604,156.972,-90.0,top
F4,90 mA; 30 mA; 36V,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,92.518,120.6645,-90.0,top
F5,90 mA; 30 mA; 36V,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,92.488,132.6505,-90.0,top
F6,90 mA; 30 mA; 36V,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,102.678,120.662,-90.0,top
F7,90 mA; 30 mA; 36V,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,102.648,132.6115,-90.0,top
F8,90 mA; 30 mA; 36V,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,138.034,120.81,-90.0,top
F9,90 mA; 30 mA; 36V,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,148.194,120.771,-90.0,top
F10,90 mA; 30 mA; 36V,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,138.064,108.824,-90.0,top
F11,90 mA; 30 mA; 36V,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,148.224,108.8215,-90.0,top
FB1,FerriteBead,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,136.915,196.215,180.0,top
FB2,FerriteBead,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,185.59724,122.99524,270.0,bottom
J1,Conn_01x02,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",161.29,203.9945,180.0,top
J2,Conn_01x02,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",179.578,203.9945,180.0,top
J3,Conn_01x04,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",203.694001,203.7875,180.0,top
J4,Conn_01x04,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",229.348001,204.0405,180.0,top
J5,Conn_01x04,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",254.635,204.0415,180.0,top
J6,ARJM11A1-009-AB-EW2,ARJM11A1-009-AB-EW2_ABR,94.5769,177.70475,-90.0,top
J7,Conn_ST_STDC14,PinHeader_2x07_P1.27mm_Vertical_SMD,205.232,166.96,-90.0,top
J8,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,191.77,167.645,0.0,top
J9,Conn_01x04,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,111.03,154.3705,-90.0,top
J10,Conn_01x04,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,110.932,142.646,-90.0,top
